PROVINCE,LOCATION,YEAR,SITE_NAME,SITE_TYPE,LONGITUDE,LATITUDE,VARIABLE,VALUE,UNIT,COLOR
Northwest Territories,arctic,2006,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Sulphate,4.989999999999999,mg/L,#1f77b4
Northwest Territories,arctic,2006,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Water Temperature,13.0,°C,#1f77b4
Northwest Territories,arctic,2007,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Oxygen,11.38,mg/L,#1f77b4
Northwest Territories,arctic,2007,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.065,PH,#1f77b4
Northwest Territories,arctic,2007,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.270000000000001,PH,#1f77b4
Northwest Territories,arctic,2007,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Phosphorus,0.01,mg/L,#1f77b4
Northwest Territories,arctic,2007,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Sulphate,6.775,mg/L,#1f77b4
Northwest Territories,arctic,2007,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Water Temperature,6.333333333333333,°C,#1f77b4
Northwest Territories,arctic,2008,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.243333333333334,PH,#1f77b4
Northwest Territories,arctic,2008,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.445,PH,#1f77b4
Northwest Territories,arctic,2008,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Phosphorus,0.01,mg/L,#1f77b4
Northwest Territories,arctic,2008,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Sulphate,6.763333333333333,mg/L,#1f77b4
Northwest Territories,arctic,2008,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Water Temperature,6.800000000000001,°C,#1f77b4
Northwest Territories,arctic,2009,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.08,PH,#1f77b4
Northwest Territories,arctic,2009,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,10.2,PH,#1f77b4
Northwest Territories,arctic,2009,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Phosphorus,0.01,mg/L,#1f77b4
Northwest Territories,arctic,2009,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Sulphate,8.13,mg/L,#1f77b4
Northwest Territories,arctic,2009,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Water Temperature,11.4,°C,#1f77b4
Northwest Territories,arctic,2010,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.28,PH,#1f77b4
Northwest Territories,arctic,2010,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,9.28,PH,#1f77b4
Northwest Territories,arctic,2010,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Phosphorus,0.01,mg/L,#1f77b4
Northwest Territories,arctic,2010,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Sulphate,5.64,mg/L,#1f77b4
Northwest Territories,arctic,2010,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Water Temperature,10.4,°C,#1f77b4
Northwest Territories,arctic,2011,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.41,PH,#1f77b4
Northwest Territories,arctic,2011,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.93,PH,#1f77b4
Northwest Territories,arctic,2011,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Phosphorus,0.01,mg/L,#1f77b4
Northwest Territories,arctic,2011,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Sulphate,7.55,mg/L,#1f77b4
Northwest Territories,arctic,2011,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Water Temperature,18.0,°C,#1f77b4
Northwest Territories,arctic,2012,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.39,PH,#1f77b4
Northwest Territories,arctic,2012,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Sulphate,10.7,mg/L,#1f77b4
Northwest Territories,arctic,2013,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.32,PH,#1f77b4
Northwest Territories,arctic,2013,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.55,PH,#1f77b4
Northwest Territories,arctic,2013,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Phosphorus,0.004,mg/L,#1f77b4
Northwest Territories,arctic,2013,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Sulphate,11.1,mg/L,#1f77b4
Northwest Territories,arctic,2013,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Water Temperature,20.1,°C,#1f77b4
Northwest Territories,arctic,2016,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.34,PH,#1f77b4
Northwest Territories,arctic,2016,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.65,PH,#1f77b4
Northwest Territories,arctic,2016,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Phosphorus,0.002,mg/L,#1f77b4
Northwest Territories,arctic,2016,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Sulphate,20.1,mg/L,#1f77b4
Northwest Territories,arctic,2016,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Water Temperature,10.5,°C,#1f77b4
Nunavut,arctic,2000,COPPERMINE RIVER ABOVE COPPER CREEK,RIVER/RIVIÈRE,-115.8881,67.2289,pH,7.843333333333334,PH,#ff7f0e
Nunavut,arctic,2000,COPPERMINE RIVER ABOVE COPPER CREEK,RIVER/RIVIÈRE,-115.8881,67.2289,Dissolved Phosphorus,0.006500000000000001,mg/L,#ff7f0e
Nunavut,arctic,2000,COPPERMINE RIVER ABOVE COPPER CREEK,RIVER/RIVIÈRE,-115.8881,67.2289,Dissolved Sulphate,2.2,mg/L,#ff7f0e
Nunavut,arctic,2000,COPPERMINE RIVER ABOVE COPPER CREEK,RIVER/RIVIÈRE,-115.8881,67.2289,Water Temperature,5.0,°C,#ff7f0e
Nunavut,arctic,2001,COPPERMINE RIVER ABOVE COPPER CREEK,RIVER/RIVIÈRE,-115.8881,67.2289,pH,7.396666666666667,PH,#ff7f0e
Nunavut,arctic,2001,COPPERMINE RIVER ABOVE COPPER CREEK,RIVER/RIVIÈRE,-115.8881,67.2289,Dissolved Phosphorus,0.007666666666666666,mg/L,#ff7f0e
Nunavut,arctic,2001,COPPERMINE RIVER ABOVE COPPER CREEK,RIVER/RIVIÈRE,-115.8881,67.2289,Dissolved Sulphate,10.833333333333334,mg/L,#ff7f0e
Nunavut,arctic,2001,COPPERMINE RIVER ABOVE COPPER CREEK,RIVER/RIVIÈRE,-115.8881,67.2289,Water Temperature,0.5,°C,#ff7f0e
Nunavut,arctic,2002,COPPERMINE RIVER ABOVE COPPER CREEK,RIVER/RIVIÈRE,-115.8881,67.2289,pH,7.345,PH,#ff7f0e
Nunavut,arctic,2002,COPPERMINE RIVER ABOVE COPPER CREEK,RIVER/RIVIÈRE,-115.8881,67.2289,Dissolved Phosphorus,0.028999999999999998,mg/L,#ff7f0e
